"species","mass","temp","MR","mean.mass","q10smr"
"Chaenocephalus_aceratus",1130,10,30.849,NA,NA
"Chaenocephalus_aceratus",1130,10,35.595,1130,151.3969
"Channa_punctata",8.33,20,0.448987,NA,NA
"Channa_punctata",8.33,31,0.798847,NA,NA
"Channa_punctata",12.33,20,0.552384,NA,NA
"Channa_punctata",12.66,31,1.010268,NA,NA
"Channa_punctata",23.66,31,1.457456,NA,NA
"Channa_punctata",26.66,20,1.007748,NA,NA
"Channa_punctata",33.33,20,1.143219,NA,NA
"Channa_punctata",33.66,31,1.861398,NA,NA
"Channa_punctata",43,31,2.0769,NA,NA
"Channa_punctata",45.66,20,1.470252,NA,NA
"Channa_punctata",53.66,31,2.141034,NA,NA
"Channa_punctata",55,20,1.7325,NA,NA
"Channa_punctata",62,20,1.953,NA,NA
"Channa_punctata",67,31,2.4857,NA,NA
"Channa_punctata",75.33,31,2.742012,NA,NA
"Channa_punctata",75.66,20,2.38329,NA,NA
"Channa_punctata",81,31,2.9484,NA,NA
"Channa_punctata",85.66,20,2.638328,NA,NA
"Channa_punctata",93.66,20,2.884728,NA,NA
"Channa_punctata",97,31,3.4629,NA,NA
"Channa_punctata",102.33,20,3.151764,NA,NA
"Channa_punctata",105,31,3.675,NA,NA
"Channa_punctata",115,31,4.025,NA,NA
"Channa_punctata",125.66,31,4.3981,NA,NA
"Channa_punctata",134,31,4.69,48.48243,3.513215
"Cirrhinus_cirrhosus",3.4,20,0.14518,NA,NA
"Cirrhinus_cirrhosus",3.4,30,0.20468,NA,NA
"Cirrhinus_cirrhosus",4.24,30.5,0.706384,NA,NA
"Cirrhinus_cirrhosus",4.94,30.5,0.750386,NA,NA
"Cirrhinus_cirrhosus",11.3,30.5,1.61364,NA,NA
"Cirrhinus_cirrhosus",19.78,30.5,2.547664,NA,NA
"Cirrhinus_cirrhosus",23.32,30.5,2.873024,NA,NA
"Cirrhinus_cirrhosus",31.8,30.5,3.69516,NA,NA
"Cirrhinus_cirrhosus",48.76,30.5,5.29046,NA,NA
"Cirrhinus_cirrhosus",63.6,30.5,6.49992,NA,NA
"Cirrhinus_cirrhosus",95,30.5,9.044,NA,NA
"Cirrhinus_cirrhosus",122,30.5,11.102,NA,NA
"Cirrhinus_cirrhosus",155,30.5,13.5625,NA,NA
"Cirrhinus_cirrhosus",180,30.5,15.498,25.13837,3.86044
"Clarias_batrachus",15.3,26,0.94248,NA,NA
"Clarias_batrachus",27.25,26,2.384375,NA,NA
"Clarias_batrachus",32.7,26,2.22033,NA,NA
"Clarias_batrachus",42.5,26,4.13525,NA,NA
"Clarias_batrachus",54,26,4.347,NA,NA
"Clarias_batrachus",64.4,26,4.59816,NA,NA
"Clarias_batrachus",77,26,2.9645,NA,NA
"Clarias_batrachus",82,26,4.7642,NA,NA
"Clarias_batrachus",95.7,26,5.42619,47.44229,5.756228
"Cyclothone_acclinidens",0.23,3,0.007406,NA,NA
"Cyclothone_acclinidens",0.23,3,0.00805,NA,NA
"Cyclothone_acclinidens",0.52,3,0.01092,NA,NA
"Cyclothone_acclinidens",0.52,3,0.013104,NA,NA
"Cyclothone_acclinidens",0.87,3,0.014616,NA,NA
"Cyclothone_acclinidens",0.87,3,0.016443,0.470345,0.064681
"Cyprinus_carpio_carpio",10,10,0.798,NA,NA
"Cyprinus_carpio_carpio",10,15,1.001,NA,NA
"Cyprinus_carpio_carpio",10,20,1.449,NA,NA
"Cyprinus_carpio_carpio",106,30,7.791,NA,NA
"Cyprinus_carpio_carpio",134,35,11.0684,NA,NA
"Cyprinus_carpio_carpio",146,20,4.9056,NA,NA
"Cyprinus_carpio_carpio",174,10,2.0706,NA,NA
"Cyprinus_carpio_carpio",215,10,3.1605,NA,NA
"Cyprinus_carpio_carpio",315,20,10.8045,NA,NA
"Cyprinus_carpio_carpio",315,20,11.907,NA,NA
"Cyprinus_carpio_carpio",554,24.5,32.1874,NA,NA
"Cyprinus_carpio_carpio",561,24.5,25.9182,NA,NA
"Cyprinus_carpio_carpio",561,24.5,27.8817,NA,NA
"Cyprinus_carpio_carpio",561,24.5,29.0598,NA,NA
"Cyprinus_carpio_carpio",561,24.5,30.2379,NA,NA
"Cyprinus_carpio_carpio",561,24.5,31.0233,NA,NA
"Cyprinus_carpio_carpio",561,24.5,33.7722,NA,NA
"Cyprinus_carpio_carpio",561,24.5,36.9138,NA,NA
"Cyprinus_carpio_carpio",561,24.5,37.3065,NA,NA
"Cyprinus_carpio_carpio",598,25.5,32.2322,NA,NA
"Cyprinus_carpio_carpio",1453,15,44.7524,NA,NA
"Cyprinus_carpio_carpio",1746,15,79.443,NA,NA
"Cyprinus_carpio_carpio",1905,15,64.008,NA,NA
"Cyprinus_carpio_carpio",1960,15,80.948,297.8158,34.39996
"Esox_lucius",600,5,8.4,NA,NA
"Esox_lucius",600,10,16.8,600,54.45546
"Exodon_paradoxus",3.6,30,0.26712,NA,NA
"Exodon_paradoxus",3.85,20,0.10241,NA,NA
"Exodon_paradoxus",4.77,25,0.287154,4.043529,0.380392
"Gadus_morhua",14.7,12,1.66698,NA,NA
"Gadus_morhua",14.7,12,1.86249,NA,NA
"Gadus_morhua",18.3,12,1.57563,NA,NA
"Gadus_morhua",18.3,12,1.75497,NA,NA
"Gadus_morhua",20.4,12,1.67076,NA,NA
"Gadus_morhua",20.4,12,2.0706,NA,NA
"Gadus_morhua",61.1,12,5.21794,NA,NA
"Gadus_morhua",61.1,12,6.11611,NA,NA
"Gadus_morhua",72,12,4.6872,NA,NA
"Gadus_morhua",140,15,12.74,NA,NA
"Gadus_morhua",151.5,15,13.9986,NA,NA
"Gadus_morhua",170,11.5,13.685,NA,NA
"Gadus_morhua",173,12,10.0513,NA,NA
"Gadus_morhua",188.1,10,13.03533,NA,NA
"Gadus_morhua",215,12,16.1035,NA,NA
"Gadus_morhua",218,11.5,12.971,NA,NA
"Gadus_morhua",228,12,13.8852,NA,NA
"Gadus_morhua",228,12,20.1096,NA,NA
"Gadus_morhua",244,11.5,14.518,NA,NA
"Gadus_morhua",254,12,13.8684,NA,NA
"Gadus_morhua",268,12,11.8188,NA,NA
"Gadus_morhua",283,11.5,19.2157,NA,NA
"Gadus_morhua",283,12,13.867,NA,NA
